Gene_ID	Healthy_012	Healthy_011	Healthy_015	Healthy_013	AcneInversa_ROS11E	AcneInversa_ROS8C1	AcneInversa_ROS4D1
ENSG00000227232	1	3	2	3	0	2	0
ENSG00000233750	1	6	2	1	2	4	1
ENSG00000268903	4	1	2	3	5	12	11
ENSG00000269981	2	2	4	1	8	4	11
ENSG00000241860	13	1	4	4	8	9	12
ENSG00000279457	9	12	25	23	12	8	12
ENSG00000228463	5	3	2	5	0	1	1
ENSG00000225630	175	116	144	115	105	93	65
ENSG00000237973	40	67	59	44	31	36	31
ENSG00000229344	4	2	1218	1	1	0	4
ENSG00000248527	299	325	350	261	283	260	213
ENSG00000198744	5	8	5	1	0	3	3
ENSG00000229376	3	4	2	3	4	2	1
ENSG00000228327	9	13	26	16	26	30	26
ENSG00000237491	51	58	46	61	49	57	44
ENSG00000230092	7	11	12	21	22	10	8
ENSG00000177757	17	32	36	25	21	24	13
ENSG00000228794	107	134	147	149	146	118	99
ENSG00000225880	10	15	22	11	12	19	2
ENSG00000230368	3	2	4	1	2	2	0
ENSG00000230699	9	11	12	2	6	7	0
ENSG00000223764	7	24	26	14	9	18	5
ENSG00000187634	40	20	30	19	23	58	42
ENSG00000188976	729	913	863	712	763	781	268
ENSG00000187961	106	165	249	161	205	276	74
ENSG00000187583	366	379	750	492	223	302	32
ENSG00000187642	73	102	138	133	47	69	5
ENSG00000272512	14	46	83	122	21	41	0
ENSG00000188290	93	73	133	143	63	68	19
ENSG00000187608	43	29	54	71	226	201	205
ENSG00000224969	0	0	3	5	4	1	0
ENSG00000188157	1326	1802	2238	1743	1417	2313	517
ENSG00000217801	8	17	26	25	12	17	3
ENSG00000237330	50	51	71	60	36	18	0
ENSG00000131591	285	318	478	353	260	290	120
ENSG00000223823	1	0	2	1	1	2	5
ENSG00000207730	5	5	6	8	0	2	0
ENSG00000207607	7	12	16	5	0	5	0
ENSG00000198976	16	6	14	8	3	6	0
ENSG00000272141	66	72	115	68	30	35	0
ENSG00000205231	2	6	12	3	4	5	2
ENSG00000162571	29	36	34	23	13	10	4
ENSG00000186891	58	85	190	95	101	132	38
ENSG00000186827	10	10	18	12	159	140	95
ENSG00000078808	1087	1500	1643	1272	1556	1929	996
ENSG00000176022	171	213	259	190	285	259	207
ENSG00000184163	69	53	61	54	27	18	5
ENSG00000260179	11	19	12	14	11	16	5
ENSG00000160087	458	566	605	499	526	643	369
ENSG00000230415	17	15	9	12	15	13	5
ENSG00000162572	76	84	106	98	100	155	44
ENSG00000131584	2225	2972	3802	3039	1624	2541	543
ENSG00000169972	217	286	311	238	162	232	88
ENSG00000127054	1066	1449	1543	1402	1165	1447	542
ENSG00000240731	43	54	60	48	35	42	15
ENSG00000224051	308	438	515	407	260	467	228
ENSG00000169962	91	120	120	121	161	466	197
ENSG00000107404	814	1036	1355	1029	598	999	341
ENSG00000162576	768	1039	1118	1032	2620	2431	1487
ENSG00000175756	397	481	566	427	391	547	392
ENSG00000221978	2536	3238	3288	2948	2812	3057	1310
ENSG00000224870	220	255	259	226	231	296	144
ENSG00000242485	331	424	424	367	352	409	300
ENSG00000272455	23	45	42	47	44	30	16
ENSG00000235098	66	94	107	67	73	78	28
ENSG00000225905	3	2	3	3	0	5	0
ENSG00000225285	17	19	25	9	13	12	6
ENSG00000179403	455	757	580	383	692	797	528
ENSG00000215915	16	24	22	9	21	41	9
ENSG00000160072	442	545	561	596	620	582	232
ENSG00000197785	179	235	237	202	249	286	136
ENSG00000205090	18	6	14	18	16	16	7
ENSG00000160075	835	1147	1113	826	934	925	653
ENSG00000215014	8	11	11	13	5	8	12
ENSG00000228594	105	156	172	122	78	127	47
ENSG00000272106	63	78	86	96	58	62	20
ENSG00000197530	832	942	1398	1066	906	1385	420
ENSG00000189409	4	6	3	8	11	20	7
ENSG00000248333	120	163	165	164	208	243	110
ENSG00000189339	513	1121	1123	734	900	1039	688
ENSG00000269737	60	103	91	79	98	111	55
ENSG00000008128	25	32	37	43	38	89	16
ENSG00000268575	31	53	73	59	70	51	26
ENSG00000227775	153	177	164	142	123	199	126
ENSG00000215790	77	91	83	66	65	85	36
ENSG00000008130	719	857	732	645	938	1152	822
ENSG00000078369	2175	2708	2923	2500	2946	3040	2625
ENSG00000231050	11	10	15	8	12	7	1
ENSG00000169885	22	29	23	31	12	27	2
ENSG00000178821	16	12	20	11	4	3	3
ENSG00000142609	4	2	5	4	2	7	2
ENSG00000187730	4	8	11	11	7	7	0
ENSG00000067606	268	295	387	296	187	217	71
ENSG00000271806	37	46	43	43	24	29	8
ENSG00000182873	35	39	53	40	43	31	12
ENSG00000162585	258	347	463	288	349	379	282
ENSG00000234396	0	2	7	3	3	2	1
ENSG00000157933	1356	1664	2053	2028	1809	1941	1270
ENSG00000116151	255	350	411	317	193	221	59
ENSG00000269896	29	28	64	40	18	31	13
ENSG00000272420	11	7	10	7	2	6	1
ENSG00000157916	1048	1386	1337	1094	1220	1241	724
ENSG00000157911	723	1296	625	324	187	174	84
ENSG00000149527	1359	1639	2844	1745	941	722	147
ENSG00000224387	26	54	63	18	15	19	3
ENSG00000229393	48	55	79	29	17	23	2
ENSG00000157881	247	313	368	331	401	449	196
ENSG00000197921	23	33	51	46	8	15	2
ENSG00000272449	18	23	53	33	26	27	15
ENSG00000238164	27	42	43	33	141	153	60
ENSG00000157873	557	644	964	761	1476	1785	1054
ENSG00000225931	5	2	4	2	7	18	4
ENSG00000228037	10	9	14	8	17	18	9
ENSG00000157870	118	152	145	115	171	233	129
ENSG00000142606	5	6	19	2	7	6	1
ENSG00000215912	24	39	33	22	53	72	38
ENSG00000177133	17	16	14	13	10	14	5
ENSG00000142611	20	32	31	26	49	34	22
ENSG00000279839	3	5	6	0	5	2	1
ENSG00000272235	9	7	6	2	9	7	2
ENSG00000130762	237	335	294	193	135	264	12
ENSG00000272088	16	14	22	22	13	6	4
ENSG00000162591	2453	2542	4194	3043	2767	2775	482
