Gene_ID	Healthy_012	Healthy_011	Healthy_015	Healthy_013	AcneInversa_ROS11E	AcneInversa_ROS8C1	AcneInversa_ROS4D1
Group	Healthy	Healthy	Healthy	Healthy	Acne_Inversa	Acne_Inversa	Acne_Inversa
ENSG00000227232	0.65205	1.28727	0.941668	1.28727	0	1.20508	0.709973
ENSG00000233750	0.825821	1.90412	0.709973	0.594126	0.941668	1.44666	1.47854
ENSG00000268903	1.64065	0.594126	0.941668	1.28727	1.69274	2.5067	3.1007
ENSG00000269981	1.12288	0.941668	1.53646	0.594126	2.0309	1.44666	3.08258
ENSG00000241860	2.68864	0.594126	1.53646	1.6146	2.06278	2.22936	3.12896
ENSG00000279457	2.31012	2.48625	3.08922	3.12896	2.39632	2.14158	3.11796
ENSG00000228463	1.86302	1.35103	0.941668	1.73678	0	0.709973	1.47854
ENSG00000225630	5.24023	4.67289	4.85132	4.7127	4.49095	4.43902	4.70256
ENSG00000237973	3.73391	4.10582	3.93153	3.73712	3.29079	3.50569	4.03297
ENSG00000229344	1.64065	0.941668	7.01173	0.65205	0.594126	0.099021	2.12653
ENSG00000248527	5.78921	5.70214	5.7597	5.5588	5.50599	5.4519	5.73302
ENSG00000198744	1.8821	2.12653	1.69274	0.65205	0	1.28727	1.84394
ENSG00000229376	1.44666	1.38291	0.941668	1.35103	1.35103	1.20508	1.47854
ENSG00000228327	2.32255	2.5067	3.15194	2.7567	3.11213	3.32371	3.86364
ENSG00000237491	3.97893	3.96646	3.69293	4.07125	3.72437	3.9419	4.35472
ENSG00000230092	2.0309	2.33498	2.44037	3.04031	2.95052	2.32255	2.74804
ENSG00000177757	2.93583	3.36896	3.46258	3.20541	2.90189	3.13479	3.24622
ENSG00000228794	4.73209	4.82697	4.87502	4.98508	4.82577	4.65698	5.04237
ENSG00000225880	2.44037	2.66259	2.96352	2.40776	2.39632	2.90853	1.80285
ENSG00000230368	1.44666	0.941668	1.53646	0.65205	0.941668	1.20508	0.941668
ENSG00000230699	2.32255	2.33498	2.44037	1.16398	1.84394	2.0309	0.941668
ENSG00000223764	2.0309	3.11213	3.12896	2.66259	2.12653	2.88759	2.2965
ENSG00000187634	3.75193	2.93583	3.28578	2.92948	2.98321	3.96176	4.31764
ENSG00000188976	6.69853	6.74523	6.66722	6.56008	6.51056	6.55484	5.95425
ENSG00000187961	4.7164	5.04155	5.40019	5.05879	5.18305	5.51267	4.79572
ENSG00000187583	5.99526	5.85854	6.52003	6.18576	5.26422	5.60082	4.06428
ENSG00000187642	4.33978	4.52806	4.81054	4.86027	3.67636	4.12869	2.2965
ENSG00000272512	2.72349	3.73712	4.28273	4.77013	2.88759	3.62616	0.941668
ENSG00000188290	4.58461	4.19138	4.76247	4.94376	3.97135	4.12272	3.58076
ENSG00000187608	3.81106	3.29079	3.85315	4.22946	5.27944	5.18946	5.69347
ENSG00000224969	0	0	1.20508	1.66669	1.41478	0.709973	0.941668
ENSG00000188157	7.29451	7.41726	7.62269	7.45921	7.13925	7.66619	6.56924
