Gene_IDs	Gene_Symbols	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000263427	None	30.91799602	8.121811721	1.272901357	6.380550759	1.76452E-10	4.67745E-09
ENSG00000260746	KIF18BP1	71.00401138	7.523732366	1.191601376	6.313967503	2.71971E-10	6.94974E-09
ENSG00000204529	GUCY2EP	20.17663189	7.507624283	1.400565999	5.360421634	8.30279E-08	1.3969E-06
ENSG00000253644	LINC02845	39.18419041	7.495044822	1.261021115	5.943631499	2.78776E-09	6.05678E-08
ENSG00000183888	SRARP	19.31712098	7.444582645	1.309536138	5.684900501	1.30889E-08	2.54722E-07
ENSG00000279927	None	62.30993914	7.335243388	1.15630261	6.343705637	2.24303E-10	5.81548E-09
ENSG00000216359	None	15.67003011	7.136897516	1.294422231	5.513577674	3.51612E-08	6.3617E-07
ENSG00000237685	None	49.91936201	7.006303076	1.117454962	6.269875132	3.61338E-10	9.02383E-09
ENSG00000111700	SLCO1B3	13.84283906	6.964104881	1.346533058	5.171878136	2.31753E-07	3.50717E-06
ENSG00000226122	DDC-AS1	12.67594726	6.837443663	1.425498837	4.796527002	1.6144E-06	2.05116E-05
ENSG00000250961	RMEL3	12.14961853	6.777221797	1.35928399	4.985876277	6.16816E-07	8.53329E-06
ENSG00000179709	NLRP8	12.12644671	6.773711475	1.297982294	5.218647056	1.80235E-07	2.81703E-06
ENSG00000164651	SP8	21.68986669	6.642493974	1.421441388	4.673069202	2.96732E-06	3.55499E-05
ENSG00000166743	ACSM1	4032.020134	6.593186024	1.256080227	5.249016649	1.52913E-07	2.43168E-06
ENSG00000234931	MARK2P15	20.80992392	6.582886625	1.273730051	5.168196057	2.36364E-07	3.56435E-06
ENSG00000215110	UGT2B25P	36.97818629	6.575777489	1.134171322	5.797869652	6.71626E-09	1.3732E-07
ENSG00000104755	ADAM2	53.52268023	6.549539582	1.03312241	6.339558138	2.30425E-10	5.96451E-09
ENSG00000204701	OR2J3	10.37419649	6.545807994	1.352391516	4.840172329	1.29727E-06	1.68899E-05
ENSG00000079689	SCGN	52.11477156	6.528138861	1.131975027	5.767034349	8.06786E-09	1.63384E-07
ENSG00000106927	AMBP	179.7326274	6.511761368	0.787130184	8.272788284	1.30862E-16	8.50629E-15
ENSG00000279717	None	19.34937099	6.471898962	1.595120715	4.057309832	4.96412E-05	0.000432764
ENSG00000254632	None	18.86442445	6.439613057	1.377840847	4.673698761	2.95823E-06	3.54543E-05
ENSG00000159763	PIP	7541.39219	6.426037536	1.128860467	5.692499403	1.25193E-08	2.44532E-07
ENSG00000135226	UGT2B28	1058.892839	6.411414705	1.158965499	5.532015157	3.16573E-08	5.78347E-07
ENSG00000259517	LINC02169	63.59591123	6.409483075	1.020229227	6.282395077	3.33396E-10	8.40496E-09
ENSG00000187481	HSD3BP1	18.45109491	6.404722461	1.287265511	4.975447883	6.50969E-07	8.97079E-06
ENSG00000231056	LINC02522	132.1876349	6.402460953	1.320257395	4.849403592	1.23833E-06	1.61814E-05
ENSG00000255065	None	18.38115598	6.40202517	1.252861862	5.109921025	3.22294E-07	4.73806E-06
ENSG00000250612	None	93.16587424	6.393383178	0.914520156	6.99097022	2.72992E-12	9.70245E-11
ENSG00000261538	None	94.50842291	6.392260577	0.821314555	7.782962734	7.08455E-15	3.64107E-13
ENSG00000239148	U8	9.327774315	6.384973978	1.482573461	4.306683038	1.65721E-05	0.000165493
ENSG00000235678	OR5AN2P	9.189372574	6.373420808	1.362677084	4.677132158	2.90915E-06	3.49054E-05
ENSG00000226653	OR13Z1P	18.02999346	6.368497196	1.271843667	5.007295597	5.52001E-07	7.75084E-06
ENSG00000257046	SLCO1B3-SLCO1B7	47.48637552	6.366478662	0.998342582	6.377048098	1.80534E-10	4.77771E-09
ENSG00000280171	None	30.08649315	6.289138062	1.238957868	5.076151678	3.85156E-07	5.55976E-06
ENSG00000265369	PCAT18	30.32916164	6.284479369	1.125444367	5.583998245	2.35051E-08	4.38707E-07
ENSG00000079841	RIMS1	239.471672	6.27526483	0.699781136	8.967467834	3.03409E-19	2.91675E-17
ENSG00000206043	C18orf63	16.81404158	6.268836291	1.471464402	4.260270436	2.0418E-05	0.000198314
ENSG00000185149	NPY2R	16.59582992	6.246758343	1.28244692	4.870968338	1.11053E-06	1.47191E-05
ENSG00000244402	RN7SL314P	8.037421771	6.178885225	1.362093108	4.536316341	5.72453E-06	6.40617E-05
ENSG00000279217	None	195.3140449	6.159242631	0.695269834	8.858780188	8.08947E-19	7.27278E-17
ENSG00000259284	LINC02349	15.55509057	6.157796765	1.377068291	4.471671306	7.76107E-06	8.44247E-05
ENSG00000176495	OR5AN1	7.657593421	6.11174227	1.426964257	4.283038094	1.84359E-05	0.000181162
ENSG00000100867	DHRS2	8738.250406	6.097280244	1.406699983	4.334456755	1.46121E-05	0.000147956
ENSG00000169562	GJB1	275.7553209	6.078590731	0.75393141	8.062524858	7.47345E-16	4.40079E-14
ENSG00000205592	MUC19	50.03954274	6.072569283	1.127045776	5.388041383	7.12297E-08	1.21376E-06
ENSG00000257588	AQP5-AS1	14.09595832	6.016182813	1.294021674	4.649213327	3.33203E-06	3.94408E-05
ENSG00000224842	LMX1B-DT	7.034666145	5.990410683	1.315704793	4.553005139	5.2885E-06	5.98114E-05
ENSG00000237686	SCIRT	401.5700061	5.982290394	1.222855907	4.892064847	9.97836E-07	1.3353E-05
ENSG00000224172	None	13.68686694	5.964428497	1.337056523	4.460864889	8.16295E-06	8.84348E-05
ENSG00000161055	SCGB3A1	244.9991451	5.959871623	0.685346962	8.696137798	3.43371E-18	2.8245E-16
ENSG00000213911	OR2G1P	6.843572698	5.946693659	1.34937648	4.406993711	1.04815E-05	0.000109934
ENSG00000164434	FABP7	580.3162866	5.945253348	0.725209324	8.197982501	2.44455E-16	1.52681E-14
ENSG00000181577	LINC03040	1305.047721	5.93368619	0.78592175	7.549970705	4.35356E-14	1.99638E-12
ENSG00000182601	HS3ST4	35.23408923	5.923402861	0.957191508	6.188315308	6.08106E-10	1.4662E-08
ENSG00000231335	None	6.633485527	5.90711428	1.295076087	4.561210217	5.08596E-06	5.79881E-05
ENSG00000260372	AQP4-AS1	12.95452953	5.889940392	1.272790589	4.627580091	3.69963E-06	4.34748E-05
